Sgmt,Src,RptgDt,BizDt,TradRegnOrgn,Lvl,ClrMmbId,BrkrOrCtdnPtcptId,ClntTp,ClntId,ISIN,TckrSymb,SttlmTp,SctiesSttlmTxId,SctySrs,FinInstrmId,FinInstrmTp,XpryDt,StrkPric,OptnTp,ValAtRskMrgn,SPANMrgn,LossMrgn,PrmAmt,CnsltdCrstllsdOblgtnMrg,DlvrySttlmtMrgn,SpclMrgn,SpclCshMrgn,TndrMrgn,AddtlMrgn,MrkToMktNetd,MinMrgn,SPANMrgnMin,XtrmLossMrgnMin,AggtPeakLbltyRptd,EndOfDayRqrmntRptd,TtlMrgnAsPerActlParams,TtlBuyTradgVol,TtlBuyTrfVal,TtlSellTradgVol,TtlSellTrfVal,NetOpnQty,NetOpnVal,CncntrtnMrgn,DvlmntMrgn,CrossMrgnBnftForSPAN,CrossMrgnBnftForELM,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
CO,NCCL,2026-05-09,2026-05-09,1,P,M51065,01262,P,01262,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,,,,,,0,0,,,,,,,
CO,NCCL,2026-05-09,2026-05-09,1,P,M51065,01262,C,108HN,,,,,,,,,,,,370440,30870,0,-80500,0,,0,0,0,-43000,,375600,31300,406900,449900,481810,,,,,,,0,0,,,,,,,
CO,NCCL,2026-05-09,2026-05-09,1,P,M51065,01262,C,1NIK9,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,,,,,,0,0,,,,,,,
CO,NCCL,2026-05-09,2026-05-09,1,P,M51065,01262,C,2OGR2,,,,,,,,,,,,5948040,495670,0,0,0,,0,0,0,321200,,5986584,498882,6485466,6485466,6443710,,,,,,,0,0,,,,,,,
CO,NCCL,2026-05-09,2026-05-09,1,P,M51065,01262,C,46MT8,,,,,,,,,,,,200475.6,16270,0,0,0,,0,0,0,4400,,206069.13,16226,222295.13,222295.13,216745.6,,,,,,,0,0,,,,,,,
CO,NCCL,2026-05-09,2026-05-09,1,P,M51065,01262,C,5VCW9,,,,,,,,,,,,2739360,271960,0,0,0,,0,0,0,-296000,,2705920,269000,2974920,3270920,3011320,,,,,,,0,0,,,,,,,
CO,NCCL,2026-05-09,2026-05-09,1,P,M51065,01262,C,984W2,,,,,,,,,,,,28349945.67,2347532.5,0,0,0,,0,0,0,-498550,,28110564,2342547,30453111,30951661,30697478.17,,,,,,,0,0,,,,,,,
CO,NCCL,2026-05-09,2026-05-09,1,P,M51065,01262,C,98C25,,,,,,,,,,,,27365013.96,2256103,0,0,0,,0,0,0,-1961950,,26837802,2236483.5,29074285.5,31036235.5,29621116.96,,,,,,,0,0,,,,,,,
CO,NCCL,2026-05-09,2026-05-09,1,P,M51065,01262,C,A0RZI,,,,,,,,,,,,18621720,1551810,0,0,0,,0,0,0,0,,18621720,1551810,20173530,20173530,20173530,,,,,,,0,0,,,,,,,
CO,NCCL,2026-05-09,2026-05-09,1,P,M51065,01262,C,A16M1,,,,,,,,,,,,66870,20754,0,0,0,,0,0,0,-24900,,63531,20637,84168,109068,87624,,,,,,,0,0,,,,,,,
